74;suffix;u;CONJ;;;;last;сочинительный союз
75;suffix;o;Q;v;;;last;вопросительная частица
76;suffix;na;Q;v;;;;вопросительная частица
77;prefix;či;PROSP;v;;;;проспективная частица, используется с инфинитивом (‘дождь вот-вот пойдёт’)
78;prefix;par;REFC;v;;;;рефактив (‘ещё раз’)
79;suffix;i;EZ;nv;;;last;изафет (тадж.)
80;suffix;aθ;INT;;;;;интенсификатор (‘очень / именно / даже’)
85;prefix;y;SANDHI;;;;;
86;suffix;y;SANDHI;;;;;
87;prefix;ma;ASP;v;;;;
88;prefix;no;NEG;nv;;;;именное отрицание (Саша Сергиенко)
